,Brand,Model,Features,Color,Display_size,belt_size,Prices,MRP,Deal,Offer_percentage
75,Noise,Icon,"2 2025 - 1.81"" Display, 500 NITS BrightnessB...",Jet Black Strap,1.81, Regular,1098.0,5999.0,Super Deals,81
76,Fire-Boltt,Brillia,Pro 51.3mm (2.02) Largest AMOLED Dis...,Champagne Chain Strap,2.02, Free Size,1849.0,18999.0,Super Deals,90
77,Fire-Boltt,Nnja,Talk 35.3mm (1.39) Round Bluetooth Call...,Pink Strap,1.39," 1.39""",1299.0,11999.0,Bank Offer,89
78,Satyam,TRADERS,T800 Ultra Smart Watch & Wireless Charge...,Black Strap,nan, Free Size,492.0,2999.0,Hot Deal,83
79,Fastrack,Revoltt,FS2+|2.01'' Display|Functional Crown|B...,Green Strap,2.01, Free Size,1549.0,2995.0,Hot Deal,48
80,GOBOULT,(formerly,"Boult) Crown 1.95"" Screen, BT Calling...",Black Strap,1.95, Free Size,1099.0,4499.0,Super Deals,75
81,Fire-Boltt,Ninja,Calling Pro Plus 46.5mm (1.83) Display...,Cinnamon Slate Strap,1.83, Free Size,1049.0,9999.0,Super Deals,89
82,REDMI,Watch,"Move 1.85 Premium AmoLED,14 Day Battery,Bes...",Black Drift Strap,nan, Free Size,1999.0,3999.0,Bank Offer,50
83,Fire-Boltt,Oracle,"WristPhone - 4G SIM/LTE/WiFi, Android...",Marine Mirage Strap,nan, Free Size,2699.0,24999.0,Super Deals,89
84,Noise,Pulse,"3 1.96'' Display, BT Calling, 100 Sports Mo...",Midnight Black Strap,1.96, Regular,1199.0,6999.0,Bank Offer,82
85,Fire-Boltt,Hunter,51.1mm (2.01) HD Display Bluetooth Ca...,Grey Strap,2.01, Free Size,1499.0,14999.0,Bank Offer,90
86,GOBOULT,(formerly,"Boult) Rover Pro 1.43'' AMOLED, BT Ca...",Ash Black Strap,1.43, Free Size,1599.0,9999.0,Super Deals,84
87,GOBOULT,(formerly,"Boult) Dire 1.38"" 2.5D HD Display, 50...",Black Strap,1.38, Free Size,1099.0,4999.0,Bank Offer,78
88,Yash,Enterprises,T800 ultra Full screen Smart Watch Ser...,Black Strap,nan, Free Size,455.0,4015.0,Lowest price in the year,88
89,Fire-Boltt,Clickk,"54.1mm (2.13 inch) AMOLED Display, Fr...",Ashfire Grey Strap,2.13, Free Size,3199.0,24999.0,Super Deals,87
90,Fire-Boltt,Hurricane,33.02mm (1.3) Curved Glass Display...,Grey Strap,1.3, Free Size,1499.0,8999.0,Bank Offer,83
91,GOBOULT,(formerly,"Boult) Drift BT Calling HD Display, 1...",Sand Black Strap,nan, Free Size,1099.0,7999.0,Bank Offer,86
92,Noise,Vision,"3 with 1.96"" AMOLED display with Thin Beze...",Black Strap,1.96, Regular,2199.0,7999.0,Super Deals,72
93,Fastrack,Pro,"with 1.43"" AMOLED Display & AOD(466x466),F...",Black Strap,1.43, Free Size,2895.0,5995.0,Hot Deal,51
94,Noise,Crew,"1.38 Round Display with Bluetooth Calling, M...",Green Strap,nan, Regular,1299.0,4999.0,Super Deals,74
95,Noise,Vortex,"Plus, 1.46'' AMOLED Display, BT Calling, S...",Silver Link Strap,1.46, Regular,2299.0,6999.0,Super Deals,67
96,Fire-Boltt,Rise,"Luxe Bluetooth Calling 47mm (1.85), Met...",Rose Gold Millanese Strap,1.85, Free Size,1149.0,12999.0,Super Deals,91
97,Fire-Boltt,Brillia,51.3mm (2.06 inch) Largest AMOLED Di...,Champagne Strap,2.06, Free Size,1749.0,18999.0,Super Deals,90
98,Noise,Twist,"2,1.43''AMOLED Display, AI Search & Voice A...",Jet Black Strap,1.43, Regular,2198.0,6999.0,Super Deals,68
99,CMF,by,"Nothing Watch Pro 2, 1.32"" AMOLED, auto-brightne...",Dark Grey Strap,1.32, Free Size,4999.0,5499.0,Upto ₹300 Off on Exchange,9
100,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,Gold SS Strap,1.39, 1.39,1349.0,11999.0,Super Deals,88
101,GOBOULT,(formerly,"Boult) Drift BT Calling HD Display, 1...",Beige Strap,nan, Free Size,1099.0,7999.0,Bank Offer,86
102,Fire-Boltt,Brillia,51.3mm (2.06 inch) Largest AMOLED Di...,Dark Grey Strap,2.06, Free Size,1749.0,18999.0,Super Deals,90
103,Cellecor,E5,"Connect 2.01"" IPS HD Display | 700 NITS | B...",Black Strap,2.01, Free Size,999.0,3999.0,Super Deals,75
104,Noise,Colorfit,Icon 2 1.8'' Display with Bluetooth Call...,Green Strap,1.8, Regular,1199.0,5999.0,Super Deals,80
105,Fire-Boltt,Rise,"Luxe Stainless Steel Luxury, 47mm (1.85...",Black Strap,1.85, Free Size,1699.0,14999.0,Only 3 left,88
106,GOBOULT,(formerly,"Boult) Drift Max 2.01''HD Screen,BT C...",Pure Black Strap,2.01, Free Size,1499.0,7999.0,Bank Offer,81
107,Fire-Boltt,Rise,"Bluetooth Calling 47mm (1.85), Metal Bo...",Gold Black Strap,1.85, Free Size,1099.0,11999.0,Super Deals,90
108,CMF,by,"Nothing Watch Pro, 1.96 AMOLED display, BT calli...",Dark Grey Strap,nan, Free Size,4534.0,5999.0,Upto ₹300 Off on Exchange,24
109,Fastrack,FS1-1.83''|BT,Calling|Fast Charge|110+ Sports ...,Blue Strap,1.83, Free Size,1449.0,3995.0,Hot Deal,63
110,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,White Classic Strap,1.39, Free Size,1888.0,11999.0,Bank Offer,84
111,GameSir,I8,Pro Smart Watch Series 8 with multiple Featu...,Black Strap,nan, 1.75 Inch Full Screen Display,630.0,2999.0,Super Deals,78
112,Fire-Boltt,Clickk,"54.1mm (2.12 inch) AMOLED Display, Fr...",Dark Knight Black Strap,2.12, Free Size,3199.0,24999.0,Super Deals,87
113,Noise,Evolve,4 1.46 AMOLED Always On Display with Premi...,Statement Black Strap,nan, Regular,2599.0,7999.0,Super Deals,67
114,Fastrack,FS1,"Pro|World's First,1.96"" Super AMOLED|Highe...",Blue Strap,1.96, Free Size,2595.0,7995.0,Hot Deal,67
115,boAt,Storm,"Infinity, 15 Days Huge Battery(550 mAh), Fas...",Jade Gold Strap,1.83, Free Size,1299.0,5999.0,Super Deals,78
116,Fire-Boltt,Brillia,Pro 51.3mm (2.02) Largest AMOLED Dis...,Champagne Chain Strap,2.02, Free Size,1849.0,18999.0,Super Deals,90
117,Fire-Boltt,Nnja,Talk 35.3mm (1.39) Round Bluetooth Call...,Pink Strap,1.39," 1.39""",1299.0,11999.0,Bank Offer,89
118,Fastrack,Revolt,Pro-1.97'' Super AMOLED Display|AOD|Wor...,Blue Strap,1.97, Free Size,2399.0,4999.0,Hot Deal,52
119,Noise,Crew,"Go with 1.39"" Display, BT Calling with Metal...",Elite Silver Strap,1.39, Regular,1799.0,5999.0,Bank Offer,70
120,GOBOULT,(formerly,"Boult) Crown 1.95"" Screen, BT Calling...",Black Strap,1.95, Free Size,1099.0,4499.0,Super Deals,75
121,Noise,Colorfit,Icon 2 1.8'' Display with Bluetooth Call...,Jet Black Strap,1.8, Regular,1099.0,5999.0,Super Deals,81
122,Noise,Evolve,4 1.46 AMOLED Always On Display with Premi...,Electric Blue Strap,nan, Regular,2599.0,7999.0,Super Deals,67
123,boAt,Lunar,"Discovery Pro, 1.39'' HD Display, QR Tray, E...",Active Blue Strap,1.39, Free Size,1399.0,8999.0,Super Deals,84
124,boAt,Wave,"Fury with 1.83'' HD Display, Bluetooth Callin...",Green Strap,1.83, Free Size,1298.0,6999.0,Bank Offer,81
125,Fire-Boltt,Axiom,"1.43"" AMOLED Display Smartwatch BT Cal...",Silver White Strap,1.43, Free Size,2699.0,18999.0,Super Deals,85
126,GOBOULT,(formerly,"Boult) Drift+ 1.85"" ,BT Calling, 500N...",Jet Black Strap,1.85, Free Size,999.0,8499.0,Super Deals,88
127,GOBOULT,(formerly,"Boult) Rover Pro 1.43'' AMOLED, BT Ca...",Ash Black Strap,1.43, Free Size,1599.0,9999.0,Super Deals,84
128,Noise,Twist,"Go 1.39'' Display, Bluetooth Calling, Metal...",Silver Grey Strap,1.39, Regular,1498.0,4999.0,Bank Offer,70
129,Fire-Boltt,Rise,"Bluetooth Calling 47mm (1.85), Metal Bo...",Grey Strap,1.85, Free Size,1599.0,11999.0,Bank Offer,86
130,GOBOULT,(formerly,"Boult) Dire 1.38"" 2.5D HD Display, 50...",Black Strap,1.38, Free Size,1099.0,4999.0,Bank Offer,78
131,GOBOULT,(formerly,"Boult) Drift BT Calling HD Display, 1...",Sand Black Strap,nan, Free Size,1099.0,7999.0,Bank Offer,86
132,boAt,Ultima,"Prime w/ 1.43""(3.68cm)AMOLED Display,Person...",Steel Black Strap,1.43, Free Size,2199.0,9499.0,Super Deals,76
133,Fastrack,FS1-1.83''|BT,Calling|Fast Charge|110+ Sports ...,Blue Strap,1.83, Free Size,1449.0,3995.0,Hot Deal,63
134,Fire-Boltt,Brillia,51.3mm (2.06 inch) Largest AMOLED Di...,Champagne Strap,2.06, Free Size,1749.0,18999.0,Super Deals,90
135,Noise,Icon,"Buzz 1.69"" Display with Bluetooth Calling, B...",Jet Black Strap,1.69, Regular,1199.0,4999.0,Only few left,76
136,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,Gold SS Strap,1.39, 1.39,1349.0,11999.0,Super Deals,88
137,GOBOULT,(formerly,"Boult) Drift Max 2.01''HD Screen,BT C...",Pure Black Strap,2.01, Free Size,1499.0,7999.0,Bank Offer,81
138,Fastrack,Revoltt,FS1-1.83''|BT Calling|Fast Charge|110+...,Black Strap,1.83, Free Size,1599.0,3995.0,Bank Offer,59
139,GameSir,H9,Pink-A1 Full Screen Touch Watch Specially Ma...,Pink Strap,nan, 2.01 Inch Full Screen Display,803.0,3999.0,Super Deals,79
140,GOBOULT,(formerly,"Boult) Drift BT Calling HD Display, 1...",Beige Strap,nan, Free Size,1099.0,7999.0,Bank Offer,86
141,Noise,Colorfit,Icon 2 1.8'' Display with Bluetooth Call...,Midnight Blue Strap,1.8, Regular,1099.0,5999.0,Super Deals,81
142,REDMI,Watch,"Move 1.85 Premium AmoLED,14 Day Battery,Bes...",Blue Blaze Strap,nan, Free Size,1999.0,3999.0,Bank Offer,50
143,Fire-Boltt,Axiom,"1.43"" AMOLED Display Smartwatch BT Cal...",Black Strap,1.43, Free Size,2699.0,18999.0,Super Deals,85
144,GOBOULT,(formerly,"Boult) Drift+ 1.85"" ,BT Calling, 500N...",Black Coffee Strap,1.85, Free Size,999.0,8499.0,Super Deals,88
145,GARMIN,Vivoactive,"5, Black (A04724) Smartwatch",Bezel & Black Strap,nan, Free Size,24990.0,34990.0,Super Deals,28
146,Fire-Boltt,Oracle,"-, , Play store & Phone Notification ...",Orange Horon Strap,nan, Free Size,2699.0,24999.0,Super Deals,89
147,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,White Classic Strap,1.39, Free Size,1888.0,11999.0,Bank Offer,84
148,Noise,Icon,"4 with Stunning 1.96'' AMOLED Display, Metal...",Deep Wine Strap,1.96, Regular,1699.0,6999.0,Bank Offer,75
149,Fastrack,Pro-1.97'',Super AMOLED Display|AOD|Working Cr...,Black Strap,1.97, Free Size,2532.0,4999.0,Bank Offer,49
150,Fire-Boltt,Rise,"Bluetooth Calling 47mm (1.85), Metal Bo...",Gold Black Strap,1.85, Free Size,1099.0,11999.0,Super Deals,90
151,GameSir,I8,Pro Smart Watch Series 8 with multiple Featu...,Black Strap,nan, 1.75 Inch Full Screen Display,630.0,2999.0,Super Deals,78
152,Google,Pixel,"Watch 3 (45 mm), AMOLED LTPO display, Adva...",Porcelain Strap,45 mm, Free Size,29990.0,43900.0,Super Deals,31
153,Cellecor,STEW,"1.83"" BT Calling, 500 NITS, AI Voice Assi...",Pink Strap,1.83, Free Size,1099.0,3999.0,Bank Offer,72
154,Apple,Watch,Series 10 GPS + Cellular 46mm Jet Black Alu...,Ink Strap,46 mm, Free Size,48831.0,59900.0,Only 1 left,18
155,Noise,Halo,"2 1.43"" AMOLED, Rotating Axe-Cut Bezel, Stai...",Elite Black Strap,1.43, Regular,4849.0,6999.0,Super Deals,30
156,Fire-Boltt,Brillia,51.3mm (2.06 inch) Largest AMOLED Di...,Dark Grey Strap,2.06, Free Size,1749.0,18999.0,Super Deals,90
157,Fire-Boltt,Nnja,Talk 35.3mm (1.39) Round Bluetooth Call...,Pink Strap,1.39," 1.39""",1299.0,11999.0,Bank Offer,89
158,boAt,Lunar,"Discovery w/ Turn by Turn Navigation, 3.53 c...",Brown Strap,nan, Free Size,1499.0,8499.0,Bank Offer,82
159,GOBOULT,(formerly,"Boult) Mirage 1.39"" Screen, Working C...",Coal Black Strap,1.39, Free Size,1799.0,4999.0,Bank Offer,64
160,GOBOULT,(formerly,"Boult) Crown 1.95"" Screen, BT Calling...",Black Strap,1.95, Free Size,1099.0,4499.0,Super Deals,75
161,Fire-Boltt,Ninja,Calling Pro Plus 46.5mm (1.83) Display...,Cinnamon Slate Strap,1.83, Free Size,1049.0,9999.0,Super Deals,89
162,boAt,Ultima,"Prime w/ 1.43""(3.68cm)AMOLED Display,Person...",Onyx Black Strap,1.43, Free Size,1999.0,8999.0,Super Deals,77
163,GOBOULT,(formerly,"Boult) Mirage 1.39"" Screen, Working C...",Amber Blue Strap,1.39, Free Size,1799.0,4999.0,Bank Offer,64
164,Noise,Force,"2 Sporty Rugged, 1.39"" TruView Display, BT ...",Forest Green Strap,1.39, Regular,1799.0,4999.0,Super Deals,64
165,Noise,Vision,"3 with 1.96"" AMOLED display with Thin Beze...",Jet Black Elite Edition Strap,1.96, Regular,2498.0,7999.0,Super Deals,68
166,GOBOULT,(formerly,"Boult) Rover Pro 1.43'' AMOLED, BT Ca...",Ash Black Strap,1.43, Free Size,1599.0,9999.0,Super Deals,84
167,GOBOULT,(formerly,"Boult) Dire 1.38"" 2.5D HD Display, 50...",Black Strap,1.38, Free Size,1099.0,4999.0,Bank Offer,78
168,Fastrack,Revoltt,FS2+|2.01'' Display|Functional Crown|B...,Black Strap,2.01, Free Size,1699.0,2995.0,Bank Offer,43
169,CMF,by,"Nothing Watch Pro 2, 1.32"" AMOLED, auto-brightne...",Dark Grey Strap,1.32, Free Size,4999.0,5499.0,Upto ₹300 Off on Exchange,9
170,Fire-Boltt,Hurricane,33.02mm (1.3) Curved Glass Display...,Grey Strap,1.3, Free Size,1499.0,8999.0,Bank Offer,83
171,GOBOULT,(formerly,"Boult) Drift BT Calling HD Display, 1...",Sand Black Strap,nan, Free Size,1099.0,7999.0,Bank Offer,86
172,GOBOULT,(formerly,"Boult) Rover Pro 1.43'' AMOLED, BT Ca...",Coal Black Strap,1.43, Free Size,1799.0,10999.0,Bank Offer,83
173,CMF,by,"Nothing Watch Pro 2, 1.32"" AMOLED, auto-brightne...",Blue Strap,1.32, Free Size,4599.0,5999.0,Upto ₹300 Off on Exchange,23
174,Noise,Force,"2 Sporty Rugged, 1.39"" TruView Display, BT ...",Mist Grey Strap,1.39, Regular,1799.0,4999.0,Super Deals,64
175,CMF,by,"Nothing Watch Pro 2, 1.32"" AMOLED, auto-brightne...",Orange Strap,1.32, Free Size,4799.0,5999.0,Upto ₹300 Off on Exchange,20
176,Fire-Boltt,Rise,"Luxe Bluetooth Calling 47mm (1.85), Met...",Rose Gold Millanese Strap,1.85, Free Size,1149.0,12999.0,Super Deals,91
177,Fire-Boltt,Brillia,51.3mm (2.06 inch) Largest AMOLED Di...,Champagne Strap,2.06, Free Size,1749.0,18999.0,Super Deals,90
178,boAt,Chrome,"Horizon, 1.51''(3.83cm) AMOLED Display, Vid...",Steel Black Strap,1.51, Free Size,3598.0,9499.0,Bank Offer,62
179,Fastrack,Revoltt,Classic-1.83''|Metal Design|Working Cr...,Black Strap,1.83, Free Size,2312.0,3999.0,Bank Offer,42
180,Fire-Boltt,Ninja,Talk 35.3mm (1.39) Round Bluetooth Cal...,Gold SS Strap,1.39, 1.39,1349.0,11999.0,Super Deals,88
181,GOBOULT,(formerly,"Boult) Drift BT Calling HD Display, 1...",Beige Strap,nan, Free Size,1099.0,7999.0,Bank Offer,86
182,Noise,Icon,"4 with Stunning 1.96'' AMOLED Display, Metal...",Deep Wine Strap,1.96, Regular,1699.0,6999.0,Bank Offer,75
183,Fire-Boltt,Axiom,"1.43"" AMOLED Display Smartwatch BT Cal...",Black Strap,1.43, Free Size,2699.0,18999.0,Super Deals,85
